Order_ID,Customer_ID,Customer_Name,Email,Phone,Age,Gender,City,State,Country,ZIP_Code,Product_Category,Product_Name,SKU,Quantity,Unit_Price,Discount_%,Total_Amount,Order_Date,Ship_Date,Delivery_Date,Payment_Method,Order_Status,Sales_Rep,Department,Rating,Return_Reason,Is_Repeat_Customer,Loyalty_Points,Notes
ORD-10919,CUST-1042,Maria Jones,maria.jones28@outlook.com,+91-7280512259,50.0,F,Houston,England,USA,425582,Furniture,Sofa,SKU-1375,6,47356.33,5.0,269931.08,2023-02-24,2023-03-02,2023-03-05,Debit Card,Pending,Carol Williams,South Zone,4.0,Not as described,Yes,3664.0,
ORD-10596,CUST-4379,Sofia Verma,sofia.verma9@company.in,+91-7027009617,28.0,FEMALE,Pune,Karnataka,India,908449,Toys,Puzzle,SKU-3158,14,39627.74,25.0,416091.27,2023-10-10,2023-10-17,2023-10-22,EMI,Shipped,Alice Brown,South Zone,4.0,Wrong item,Yes,,
ORD-10076,CUST-3224,Sarah Jones,sarah.jones22@yahoo.com,+91-9429450217,35.0,,Philadelphia,Pennsylvania,UK,872570,Automotive,Parking Sensor,SKU-1681,1,39804.25,5.0,37814.04,2024-09-27,2024-09-29,,credit card,,Carol Williams,Online,,Changed mind,Yes,,Express shipping needed
ORD-10107,CUST-1240,Aarav Gupta,aarav.gupta52@yahoo.com,+91-8167514229,39.0,,Chennai,,India,118751,Beauty,Shampoo,SKU-7816,20,13452.05,0.0,269041.0,2022-12-16,2022-12-19,2022-12-27,CREDIT CARD,Returned,Carol Williams,,4.0,,False,2937.0,
ORD-10424,CUST-1541,Ashley Kumar,ashley.kumar99@hotmail.com,+91-7088982953,18.0,Male,Chennai,West Bengal,India,395027,Clothing,Jeans,SKU-5575,5,26706.18,0.0,133530.9,2024-08-05,2024-08-10,2024-08-13,UPI,Cancelled,Sunita Singh,West Zone,5.0,Not as described,True,1327.0,
ORD-10584,CUST-4052,Pooja Taylor,pooja.taylor74@hotmail.com,+91-9232950452,49.0,Female,Manchester,Scotland,UK,648795,Beauty,Moisturizer,SKU-2212,18,45546.39,15.0,696859.77,2024-07-26,2024-07-31,2024-08-03,Credit Card,,Raj Patel,East Zone,2.0,,No,4984.0,
ORD-10853,CUST-2865,Ananya Kumar,ananya.kumar69@company.in,+91-7752517315,38.0,M,Phoenix,Telangana,UK,215065,Electronics,Smart Watch,SKU-6881,13,36256.05,5.0,447762.22,2024-04-24,2024-04-26,2024-05-03,,Cancelled,,East Zone,5.0,,True,1196.0,
ORD-10664,CUST-4055,Isabella Williams,isabella.williams72@hotmail.com,+91-9349083473,49.0,M,Philadelphia,England,USA,850212,Clothing,Kurta,SKU-2453,18,11790.82,15.0,180399.55,2023-03-16,2023-03-20,2023-03-22,Credit Card,Returned,Pradeep Kumar,South Zone,1.0,Defective,True,1343.0,Handle with care
ORD-10829,CUST-1952,Ashley Garcia,ashley.garcia51@hotmail.com,+91-7337997758,61.0,Other,Houston,Gujarat,USA,997108,Toys,Board Game,SKU-8967,2,13705.47,0.0,27410.94,2022-04-21,2022-04-28,2022-05-03,Wallet,,Dan Smith,North Zone,5.0,Wrong item,False,2828.0,Handle with care
ORD-10420,CUST-3749,Rohit Davis,rohit.davis53@gmail.com,+91-8973565873,25.0,Other,Ahmedabad,Tamil Nadu,USA,638848,Electronics,Camera,SKU-7335,0,48934.69,10.0,880824.42,2022-02-05,2022-02-07,,Debit Card,Cancelled,Sunita Singh,South Zone,5.0,Wrong item,True,3638.0,
ORD-10597,CUST-2229,Vikram Sharma,vikram.sharma81@yahoo.com,+91-7405330575,31.0,Other,Leeds,West Bengal,India,,Food & Beverage,Juice,SKU-3194,16,44170.93,20.0,565387.9,2023-07-11,2023-07-14,2023-07-22,credit card,Processing,Alice Brown,,2.0,,No,917.0,
ORD-10458,CUST-3780,Rohit Miller,rohit.miller59@gmail.com,+91-7531625888,23.0,Male,Kolkata,Scotland,USA,434667,Furniture,Bookshelf,SKU-6292,13,36436.13,0.0,473669.69,2023-06-12,2023-06-17,2023-06-19,Debit Card,Shipped,Amit Verma,West Zone,5.0,Defective,True,4136.0,
ORD-10312,CUST-2858,David Kumar,david.kumar71@yahoo.com,+91-8599402802,51.0,Other,Chicago,England,UK,,Automotive,Floor Mat,SKU-1553,16,14025.2,5.0,213183.04,2022-04-21,2022-04-24,2022-05-04,Net Banking,Processing,Pradeep Kumar,Online,,,,692.0,Handle with care
ORD-10649,CUST-4881,Sofia Davis,sofia.davis24@outlook.com,+91-8863278556,47.0,FEMALE,Leeds,England,Germany,647543,Health,Protein Powder,SKU-5047,16,43264.81,20.0,553789.57,2023-05-23,2023-05-25,2023-06-03,Cash on Delivery,Delivered,Alice Brown,South Zone,1.0,,False,4911.0,Gift wrap
ORD-10365,CUST-1926,James Davis,james.davis19@company.in,+91-7352998979,32.0,Female,London,West Bengal,India,325734,Sports,Gym Gloves,SKU-6384,16,24665.45,,394647.2,2024-01-19,2024-01-24,2024-01-26,debit card,Pending,Carol Williams,International,,,No,2185.0,Urgent delivery
ORD-10321,CUST-4882,Diego Mehta,diego.mehta4@company.in,+91-7170703643,53.0,male,London,California,India,556196,Sports,Cycling Shorts,SKU-3067,8,33338.36,0.0,266706.88,2023-08-14,2023-08-17,2023-08-19,Credit Card,,Carol Williams,East Zone,5.0,Wrong item,True,3541.0,
ORD-10629,CUST-4522,James Kumar,james.kumar57@gmail.com,+91-9539526951,60.0,Other,Chicago,Gujarat,India,536089,Books,Novel,SKU-9933,4,29115.24,0.0,116460.96,2023-07-09,2023-07-11,2023-07-14,UPI,Shipped,Pradeep Kumar,International,4.0,,No,4839.0,Urgent delivery
ORD-10914,CUST-1507,Rohit Kumar,rohit.kumar5@yahoo.com,+91-8914571329,59.0,FEMALE,Pune,Gujarat,Germany,860078,,Unknown Item,SKU-9431,2,394.94,,789.88,2022-03-14,2022-03-16,2022-03-24,Net Banking,Shipped,Dan Smith,East Zone,1.0,,Yes,675.0,Urgent delivery
ORD-10468,CUST-4125,Isabella Miller,isabella.miller64@hotmail.com,+91-9571979779,32.0,F,San Antonio,New York,India,635278,Books,Python Programming,SKU-3247,14,31367.53,0.0,439145.42,2023-02-06,2023-02-13,2023-02-21,,Processing,Amit Verma,Online,3.0,Wrong item,Yes,3884.0,
ORD-10598,CUST-2898,Maria Kumar,maria.kumar69@hotmail.com,+91-8096501981,62.0,F,Chennai,Karnataka,Germany,,Electronics,Tablet,SKU-1158,6,40280.89,30.0,169179.74,2023-10-17,2023-10-22,2023-10-24,COD,Returned,Dan Smith,East Zone,4.0,,Yes,4187.0,Express shipping needed
ORD-10394,CUST-4097,Juan Garcia,juan.garcia34@yahoo.com,+91-9327865555,,male,London,,India,676157,Books,Novel,SKU-5861,2,22153.69,30.0,31015.17,2023-01-17,2023-01-21,2023-01-31,credit card,Returned,Bob Johnson,Online,5.0,,False,2824.0,Express shipping needed
ORD-10536,CUST-2886,Ashley Verma,,,44.0,M,New York,Telangana,,52550,Clothing,T-Shirt,SKU-7277,5,28396.08,5.0,134881.38,2022-05-17,2022-05-22,2022-05-25,upi,Shipped,Bob Johnson,South Zone,4.0,Wrong item,No,3225.0,
ORD-10720,CUST-2402,Chris Davis,chris.davis49@company.in,+91-7544644595,60.0,FEMALE,Chicago,Scotland,India,367383,Furniture,Cabinet,SKU-4445,7,7202.9,20.0,40336.24,2022-11-01,2022-11-08,2022-11-10,Net Banking,Returned,Raj Patel,North Zone,4.0,Wrong item,True,248.0,
ORD-10333,CUST-4731,Emily Mehta,emily.mehta96@outlook.com,+91-7841109583,30.0,M,Birmingham,New York,France,976329,,Unknown Item,SKU-1212,12,36438.15,5.0,415394.91,2022-02-21,2022-02-28,2022-03-08,Credit Card,Returned,Pradeep Kumar,North Zone,4.0,,Yes,2072.0,
ORD-10409,CUST-4970,Sofia Smith,sofia.smith96@yahoo.com,+91-7457098881,43.0,,Ahmedabad,Pennsylvania,,161367,,Unknown Item,SKU-2183,18,46849.56,30.0,590304.46,2024-09-28,2024-09-29,2024-10-05,Net Banking,Pending,Pradeep Kumar,South Zone,2.0,,,4439.0,Gift wrap
ORD-10059,CUST-3070,Vikram Jones,vikram.jones11@company.in,+91-9268486276,61.0,M,Ahmedabad,Tamil Nadu,UK,182529,Health,Blood Pressure Monitor,SKU-6375,18,40109.65,5.0,685875.02,2024-02-05,2024-02-09,2024-02-17,Debit Card,,Dan Smith,West Zone,,Wrong item,False,4004.0,Gift wrap
ORD-10256,CUST-3673,Pedro Davis,pedro.davis77@gmail.com,+91-7022866420,31.0,,Mumbai,New York,UK,902810,Food & Beverage,Protein Bar,SKU-1573,19,26972.14,0.0,512470.66,2024-12-21,2024-12-25,,credit card,Delivered,Neha Sharma,Online,5.0,,,1405.0,
ORD-10969,CUST-4805,Rahul Wilson,rahul.wilson70@company.in,,38.0,male,Bangalore,Pennsylvania,Germany,754717,Furniture,Dining Table,SKU-4355,11,20471.95,0.0,225191.45,2024-12-16,2024-12-19,2024-12-20,CREDIT CARD,Shipped,Carol Williams,International,3.0,Defective,,1674.0,
ORD-10685,CUST-1603,Ana Brown,ana.brown65@yahoo.com,+91-7511209378,48.0,,Ahmedabad,,USA,543771,Sports,Cricket Bat,SKU-7447,14,10935.56,0.0,153097.84,2023-09-03,2023-09-10,,UPI,Returned,Sunita Singh,International,3.0,Defective,False,726.0,
ORD-10342,CUST-1163,David Johnson,david.johnson11@outlook.com,+91-8447900854,52.0,FEMALE,Glasgow,Scotland,UK,394936,Sports,Football,SKU-1820,12,5628.02,0.0,67536.24,2024-08-27,2024-09-02,2024-09-11,,Returned,Alice Brown,East Zone,,,,192.0,
ORD-10635,CUST-1080,David Johnson,david.johnson6@hotmail.com,+91-8840680724,56.0,,London,Pennsylvania,USA,528430,Food & Beverage,Spice Kit,SKU-4093,14,42939.72,5.0,571098.28,2024-09-03,2024-09-07,2024-09-08,Wallet,Shipped,Pradeep Kumar,International,1.0,Not as described,True,2351.0,
ORD-10708,CUST-1031,Pedro Chopra,,+91-8768882529,24.0,Male,,West Bengal,India,535863,Clothing,Shoes,SKU-2823,6,13070.82,30.0,54897.44,2022-01-11,2022-01-18,2022-01-25,credit card,Delivered,Alice Brown,,4.0,Not as described,False,4523.0,Urgent delivery
ORD-10010,CUST-2632,Sofia Mehta,sofia.mehta5@gmail.com,+91-7955345537,62.0,,Ahmedabad,,India,820891,Health,Protein Powder,SKU-5573,14,40121.65,5.0,533617.94,2024-04-24,2024-04-25,2024-05-01,Net Banking,Processing,Dan Smith,West Zone,2.0,,,944.0,
ORD-10485,CUST-3384,Karan Brown,karan.brown33@company.in,+91-9139397866,19.0,Female,Chicago,Texas,USA,192798,Furniture,Bookshelf,SKU-8211,16,10982.36,20.0,140574.21,2022-09-08,2022-09-12,2022-09-20,,Delivered,Raj Patel,North Zone,5.0,,False,4881.0,
ORD-10209,CUST-4521,Juan Joshi,juan.joshi55@outlook.com,,37.0,Other,Chennai,,India,319153,Electronics,Headphones,SKU-7418,8,21817.63,30.0,122178.73,2022-02-24,2022-02-26,2022-03-01,Cash on Delivery,Delivered,Alice Brown,North Zone,2.0,Wrong item,Yes,4060.0,
ORD-10139,CUST-3218,Emily Gupta,emily.gupta94@company.in,+91-9571310779,29.0,Other,Mumbai,England,USA,,Toys,Action Figure,SKU-9289,18,14770.99,25.0,199408.36,2023-05-29,2023-05-30,2023-06-07,UPI,Cancelled,Raj Patel,North Zone,5.0,,No,518.0,
ORD-10388,CUST-3732,Rohit Williams,rohit.williams21@yahoo.com,+91-9222649253,30.0,Other,Houston,Pennsylvania,USA,723692,Automotive,Polish Kit,SKU-3553,10,45238.57,,452385.7,2022-10-17,2022-10-21,2022-10-29,Credit Card,Pending,Bob Johnson,Online,4.0,Changed mind,False,3838.0,Express shipping needed
ORD-10622,CUST-1812,John Verma,john.verma11@yahoo.com,+91-7833301577,19.0,Male,New York,Tamil Nadu,France,491126,Electronics,Smartphone,SKU-4007,14,27341.04,0.0,382774.56,2024-10-11,2024-10-18,,Credit Card,Processing,Pradeep Kumar,West Zone,4.0,Changed mind,True,3609.0,Urgent delivery
ORD-10824,CUST-3940,Juan Johnson,juan.johnson34@yahoo.com,+91-7141961397,62.0,F,Glasgow,Karnataka,USA,670109,Sports,Cricket Bat,SKU-1960,10,43955.11,20.0,351640.88,2024-09-16,2024-09-18,2024-09-21,Debit Card,Delivered,Alice Brown,South Zone,2.0,,False,,Gift wrap
ORD-10717,CUST-1559,John Verma,john.verma80@outlook.com,+91-7612576201,,Male,Hyderabad,Tamil Nadu,USA,413775,Clothing,Kurta,SKU-8679,12,48492.88,10.0,523723.1,2024-10-05,2024-10-06,2024-10-12,Wallet,Cancelled,Dan Smith,,2.0,Wrong item,,2372.0,
ORD-10845,CUST-4589,Sarah Jones,sarah.jones30@hotmail.com,+91-7467713254,39.0,Male,Houston,Gujarat,Germany,,Sports,Football,SKU-3950,10,33196.42,20.0,265571.36,2023-07-27,2023-07-29,2023-08-07,Debit Card,Cancelled,Bob Johnson,East Zone,4.0,Changed mind,Yes,3912.0,
ORD-10687,CUST-3303,Aarav Mehta,aarav.mehta98@gmail.com,+91-8174490641,36.0,,San Antonio,Maharashtra,USA,481595,Beauty,Shampoo,SKU-5715,13,28248.98,0.0,367236.74,2022-12-06,2022-12-07,2022-12-09,Credit Card,Delivered,Raj Patel,Online,,Not as described,No,1977.0,Express shipping needed
ORD-10935,CUST-2273,Luis Brown,luis.brown99@yahoo.com,+91-9157227382,40.0,Other,Manchester,Scotland,Germany,680453,Books,Marketing,SKU-6274,16,22610.34,10.0,325588.9,2023-03-21,2023-03-27,2023-04-05,,Shipped,Alice Brown,North Zone,5.0,Wrong item,Yes,4563.0,Urgent delivery
ORD-10581,CUST-3461,Juan Wilson,juan.wilson16@gmail.com,+91-8809406543,52.0,Female,Houston,Illinois,USA,49252,Toys,Board Game,SKU-9404,7,1880.52,5.0,12505.46,2024-07-29,2024-07-31,2024-08-10,Debit Card,Cancelled,Dan Smith,Online,1.0,Not as described,No,,Urgent delivery
ORD-10382,CUST-4687,Pedro Brown,pedro.brown29@outlook.com,+91-7313375771,24.0,male,Houston,Texas,India,14968,Beauty,Lipstick,SKU-4938,12,34072.61,0.0,408871.32,2024-11-07,2024-11-12,2024-11-21,Credit Card,Pending,Alice Brown,South Zone,,,False,3292.0,Handle with care
ORD-10070,CUST-2360,Vikram Verma,vikram.verma32@hotmail.com,+91-9129455245,22.0,male,,New York,India,914080,Automotive,Tyre Inflator,SKU-6399,6,21762.08,20.0,104457.98,2023-09-09,2023-09-12,2023-09-14,CREDIT CARD,Cancelled,Alice Brown,West Zone,5.0,Not as described,,1645.0,
ORD-10260,CUST-3599,Priya Johnson,priya.johnson55@hotmail.com,+91-7982534348,50.0,Female,Leeds,England,USA,108181,Food & Beverage,Protein Bar,SKU-3705,6,21976.05,15.0,112077.85,2023-05-26,2023-06-01,2023-06-09,upi,Returned,Amit Verma,North Zone,3.0,,No,87.0,
ORD-10800,CUST-1151,Juan Kumar,juan.kumar41@company.in,+91-7179272423,25.0,male,Leeds,California,France,,Sports,Running Shoes,SKU-7361,16,36032.19,5.0,547689.29,2023-06-06,2023-06-12,2023-06-22,debit card,Delivered,Amit Verma,North Zone,5.0,,,255.0,Handle with care
ORD-10453,CUST-2068,Ananya Wilson,,+91-8517570082,21.0,F,Mumbai,Karnataka,USA,165130,Electronics,Laptop,SKU-9847,4,21977.0,30.0,61535.6,2022-06-16,2022-06-17,2022-06-25,COD,Cancelled,Pradeep Kumar,West Zone,3.0,,True,2367.0,
ORD-10591,CUST-4177,Luis Johnson,luis.johnson26@gmail.com,,49.0,Female,New York,,USA,222960,Automotive,Parking Sensor,SKU-5998,18,37443.4,25.0,505485.9,2022-08-18,2022-08-25,2022-08-31,upi,Shipped,,Online,4.0,,True,1683.0,
ORD-10906,CUST-2162,Sneha Brown,sneha.brown88@gmail.com,+91-7227722687,63.0,,Ahmedabad,Gujarat,France,434710,Health,Protein Powder,SKU-2227,14,13960.97,30.0,136817.51,2023-03-12,2023-03-17,2023-03-20,Debit Card,Pending,Sunita Singh,North Zone,1.0,,No,2308.0,Gift wrap
ORD-10784,CUST-2256,James Jones,james.jones95@gmail.com,+91-9566826540,37.0,Female,,Scotland,USA,971922,Health,Thermometer,SKU-2687,8,37478.15,10.0,269842.68,2024-04-13,2024-04-19,2024-04-26,Cash on Delivery,Delivered,Bob Johnson,North Zone,5.0,,Yes,764.0,Handle with care
ORD-10213,CUST-3114,James Nair,james.nair97@yahoo.com,+91-7980034265,60.0,F,Mumbai,Telangana,UK,41208,Toys,Science Kit,SKU-8251,12,35774.23,20.0,343432.61,2024-10-31,2024-11-02,,upi,Shipped,Amit Verma,International,2.0,,True,,
ORD-10096,CUST-4981,Divya Davis,divya.davis51@outlook.com,+91-7149157745,33.0,Other,Birmingham,New York,Germany,54748,Clothing,Saree,SKU-7936,14,48283.1,25.0,506972.55,2022-05-05,2022-05-12,2022-05-21,,Delivered,Bob Johnson,South Zone,5.0,Not as described,No,548.0,Gift wrap
ORD-10679,CUST-4274,Ana Gupta,ana.gupta30@yahoo.com,+91-9461913325,,Male,Ahmedabad,Tamil Nadu,UK,479784,Beauty,Perfume,SKU-1911,20,25154.22,,503084.4,2023-03-27,2023-04-02,2023-04-10,upi,Pending,Dan Smith,East Zone,1.0,,Yes,2125.0,Gift wrap
ORD-10849,CUST-2074,Aarav Patel,aarav.patel88@gmail.com,+91-9408112050,57.0,,Hyderabad,Karnataka,India,942150,Sports,Football,SKU-8638,17,42692.04,20.0,580611.74,2024-11-14,2024-11-16,2024-11-20,Net Banking,Pending,Sunita Singh,International,4.0,,,3432.0,Gift wrap
ORD-10375,CUST-2516,Isabella Taylor,isabella.taylor74@company.in,+91-8662598134,51.0,FEMALE,Los Angeles,Telangana,India,256106,Food & Beverage,Coffee Beans,SKU-6245,18,49918.71,5.0,853609.94,2024-09-16,2024-09-23,2024-10-02,UPI,Returned,Alice Brown,North Zone,,Not as described,,2022.0,
ORD-10880,CUST-4369,Michael Joshi,michael.joshi45@outlook.com,+91-9127469460,27.0,Other,Delhi,,France,982271,Clothing,Jacket,SKU-8934,1,43885.34,0.0,43885.34,2023-07-18,2023-07-24,2023-08-02,Wallet,,Dan Smith,,,Wrong item,No,526.0,
ORD-10192,CUST-4499,Michael Smith,michael.smith40@outlook.com,+91-9093602951,28.0,,Philadelphia,Karnataka,USA,,Electronics,Laptop,SKU-5315,6,27855.49,10.0,150419.65,2024-02-10,2024-02-14,2024-02-15,COD,Cancelled,,West Zone,1.0,,,230.0,
ORD-10280,CUST-3795,Karan Jones,karan.jones66@yahoo.com,+91-8347096776,57.0,Female,San Antonio,West Bengal,UK,69830,Clothing,Dress,SKU-5011,2,18205.43,10.0,32769.77,2022-10-15,2022-10-16,2022-10-24,COD,Pending,Dan Smith,North Zone,3.0,Not as described,True,1296.0,
ORD-10533,CUST-3561,Amanda Gupta,amanda.gupta18@gmail.com,+91-9047720417,60.0,Male,Bangalore,Texas,USA,151841,Health,Blood Pressure Monitor,SKU-3547,17,13841.74,10.0,211778.62,2024-11-07,2024-11-12,2024-11-15,Net Banking,Delivered,Pradeep Kumar,North Zone,2.0,,,2283.0,Express shipping needed
ORD-10682,CUST-2295,Vikram Chopra,vikram.chopra66@hotmail.com,+91-8875435645,32.0,FEMALE,Delhi,California,Germany,492598,Electronics,Smartphone,SKU-9372,5,19411.73,,97058.65,2024-09-12,2024-09-19,2024-09-28,Cash on Delivery,Returned,Bob Johnson,,,,False,1564.0,
ORD-10617,CUST-2079,Aarav Gupta,,+91-8978659497,20.0,Male,Ahmedabad,England,USA,682365,Toys,Puzzle,SKU-4766,9,21171.43,25.0,142907.15,2023-08-29,2023-09-05,2023-09-11,Cash on Delivery,Cancelled,Amit Verma,South Zone,2.0,Wrong item,Yes,1869.0,
ORD-10982,CUST-4987,Ananya Brown,ananya.brown21@gmail.com,+91-9853805327,25.0,male,Ahmedabad,Gujarat,USA,617135,Books,Novel,SKU-4621,18,47807.42,10.0,774480.2,2022-12-18,2022-12-19,2022-12-24,Wallet,Delivered,Carol Williams,International,5.0,,No,66.0,Express shipping needed
ORD-10910,CUST-3161,Pedro Wilson,pedro.wilson25@gmail.com,+91-9028884825,24.0,Male,Kolkata,Texas,India,447166,Beauty,Sunscreen,SKU-8121,10,20155.43,30.0,141088.01,2024-01-10,2024-01-14,,Debit Card,,,South Zone,1.0,Not as described,True,287.0,
ORD-10184,CUST-4384,Jessica Miller,jessica.miller60@outlook.com,+91-7588097152,35.0,Other,Hyderabad,Telangana,USA,528101,Food & Beverage,Tea Pack,SKU-8593,13,4467.99,20.0,46467.1,2023-11-18,2023-11-19,2023-11-29,debit card,Shipped,Amit Verma,,2.0,Defective,False,3871.0,Gift wrap
ORD-10030,CUST-4414,Rahul Jones,rahul.jones69@gmail.com,+91-8948385094,25.0,F,Glasgow,Telangana,France,303328,Health,First Aid Kit,SKU-1536,2,47315.76,10.0,85168.37,2023-09-11,2023-09-17,2023-09-20,CREDIT CARD,Pending,Alice Brown,South Zone,3.0,,Yes,2971.0,Gift wrap
ORD-10328,CUST-2383,Chris Kumar,chris.kumar19@company.in,+91-9033729961,49.0,male,San Antonio,Gujarat,UK,,Beauty,Lipstick,SKU-7660,4,28066.23,5.0,106651.67,2023-09-29,2023-10-02,2023-10-04,,,Amit Verma,East Zone,5.0,Changed mind,No,4469.0,
ORD-10506,CUST-1787,Maria Verma,maria.verma47@hotmail.com,+91-8903083094,37.0,Male,Los Angeles,New York,USA,40294,Food & Beverage,Coffee Beans,SKU-7965,11,39469.44,10.0,390747.46,2024-06-09,2024-06-13,2024-06-14,debit card,Shipped,Sunita Singh,,3.0,,,3123.0,Urgent delivery
ORD-10054,CUST-3828,Carlos Wilson,carlos.wilson32@yahoo.com,,42.0,Female,Glasgow,California,USA,651181,,Unknown Item,SKU-8726,16,8567.08,,137073.28,2023-04-12,2023-04-18,,,,Amit Verma,International,,Not as described,No,2662.0,
ORD-10023,CUST-2810,Juan Garcia,juan.garcia1@outlook.com,+91-9330421741,25.0,F,Pune,Gujarat,USA,585898,Books,Data Science,SKU-3146,2,22768.55,15.0,38706.53,2023-08-14,2023-08-20,2023-08-29,Wallet,Processing,Carol Williams,International,4.0,,True,,
ORD-10101,CUST-4017,Karan Smith,karan.smith88@outlook.com,+91-7109329542,56.0,,London,Karnataka,USA,609829,Sports,Football,SKU-4111,7,7538.97,5.0,50134.15,2023-07-22,2023-07-25,2023-07-30,debit card,Processing,Sunita Singh,International,,,Yes,2936.0,
ORD-10549,CUST-4999,Chris Smith,chris.smith71@company.in,+91-7793979551,31.0,,New York,Karnataka,India,,Clothing,Kurta,SKU-9128,3,28832.79,20.0,-69198.7,2023-11-07,2023-11-11,2023-11-21,CREDIT CARD,Delivered,Raj Patel,International,1.0,Wrong item,False,1653.0,
ORD-10247,CUST-3322,Valentina Williams,valentina.williams22@hotmail.com,+91-7800582077,59.0,Other,New York,England,India,71847,Books,Self Help,SKU-3993,1,4888.69,20.0,3910.95,2023-09-23,2023-09-24,2023-10-02,UPI,,Sunita Singh,East Zone,,,Yes,894.0,Urgent delivery
ORD-10003,CUST-3561,Michael Miller,michael.miller56@hotmail.com,+91-7013938521,59.0,FEMALE,Phoenix,New York,Germany,648551,Health,Omega 3,SKU-4258,4,34101.43,30.0,95484.0,2023-05-30,2023-06-04,2023-06-05,CREDIT CARD,Shipped,Alice Brown,,,Not as described,No,4344.0,Handle with care
ORD-10086,CUST-2877,Pedro Sharma,pedro.sharma19@outlook.com,+91-7399546384,44.0,male,Birmingham,Gujarat,France,110219,Electronics,Headphones,SKU-9280,10,5242.25,30.0,36695.75,2023-11-18,2023-11-19,2023-11-26,COD,Shipped,Bob Johnson,North Zone,1.0,Defective,Yes,1070.0,Express shipping needed
ORD-10843,CUST-3603,Amanda Williams,,+91-8248087759,,F,Bangalore,Maharashtra,UK,629647,Clothing,T-Shirt,SKU-5450,6,16139.85,20.0,77471.28,2023-11-12,2023-11-15,2023-11-17,debit card,Returned,Pradeep Kumar,Online,5.0,Wrong item,Yes,,Express shipping needed
